complex_id,complex_id_unique,count_
1,Y,1
10,Y,1
100,Y,1
101,Y,1
103,Y,1
107,Y,1
108,Y,1
109,Y,1
110,Y,1
111,Y,1
113,Y,1
114,Y,1
118,Y,1
119,Y,1
120,Y,1
122,Y,1
123,Y,1
124,Y,1
125,Y,1
126,Y,1
127,Y,1
129,Y,1
13,Y,1
130,Y,1
131,Y,1
133,Y,1
134,Y,1
135,Y,1
136,Y,1
137,Y,1
138,Y,1
14,Y,1
141,Y,1
143,Y,1
144,Y,1
145,Y,1
146,Y,1
147,Y,1
149,Y,1
150,Y,1
151,N,2
152,Y,1
153,Y,1
154,Y,1
155,Y,1
156,Y,1
157,Y,1
158,Y,1
159,Y,1
16,Y,1
160,Y,1
162,Y,1
164,Y,1
165,Y,1
167,N,2
168,Y,1
169,Y,1
17,Y,1
173,Y,1
175,Y,1
176,Y,1
177,Y,1
179,Y,1
180,Y,1
181,Y,1
182,Y,1
183,Y,1
185,Y,1
186,Y,1
187,Y,1
188,Y,1
189,Y,1
190,Y,1
191,Y,1
192,Y,1
193,Y,1
194,Y,1
195,Y,1
196,Y,1
197,Y,1
198,Y,1
199,Y,1
2,Y,1
20,Y,1
200,Y,1
201,Y,1
202,Y,1
203,Y,1
204,Y,1
205,Y,1
206,Y,1
207,Y,1
208,Y,1
209,Y,1
210,Y,1
211,Y,1
212,Y,1
213,Y,1
214,Y,1
215,Y,1
216,Y,1
217,Y,1
218,Y,1
22,Y,1
220,Y,1
221,Y,1
222,Y,1
223,Y,1
224,Y,1
225,Y,1
228,Y,1
231,Y,1
232,Y,1
234,Y,1
235,Y,1
236,Y,1
237,Y,1
238,Y,1
240,Y,1
241,Y,1
242,Y,1
243,Y,1
244,Y,1
245,Y,1
246,Y,1
247,Y,1
248,Y,1
249,Y,1
250,Y,1
251,Y,1
252,Y,1
253,Y,1
254,Y,1
255,Y,1
256,Y,1
257,Y,1
258,Y,1
259,Y,1
26,Y,1
260,Y,1
261,Y,1
262,Y,1
263,Y,1
264,Y,1
265,Y,1
266,Y,1
268,Y,1
269,Y,1
270,Y,1
271,Y,1
272,Y,1
273,Y,1
276,Y,1
277,Y,1
278,Y,1
279,Y,1
28,Y,1
280,Y,1
282,Y,1
283,Y,1
284,Y,1
286,Y,1
287,Y,1
288,Y,1
289,Y,1
290,Y,1
291,Y,1
292,Y,1
293,Y,1
294,Y,1
295,Y,1
296,Y,1
297,Y,1
298,Y,1
299,Y,1
3,Y,1
30,Y,1
300,Y,1
301,Y,1
303,Y,1
304,Y,1
305,Y,1
306,Y,1
307,Y,1
308,Y,1
309,Y,1
31,Y,1
310,Y,1
311,Y,1
312,Y,1
313,Y,1
314,Y,1
316,Y,1
318,Y,1
319,Y,1
32,Y,1
320,Y,1
321,Y,1
323,Y,1
324,Y,1
325,Y,1
326,Y,1
327,Y,1
328,Y,1
329,Y,1
33,Y,1
333,Y,1
334,Y,1
336,Y,1
337,Y,1
339,Y,1
34,Y,1
340,Y,1
341,Y,1
343,Y,1
344,Y,1
345,Y,1
346,Y,1
347,Y,1
348,Y,1
349,Y,1
35,Y,1
350,Y,1
351,Y,1
352,Y,1
353,Y,1
354,Y,1
355,Y,1
356,Y,1
357,Y,1
358,Y,1
359,Y,1
36,Y,1
360,Y,1
361,Y,1
362,Y,1
363,Y,1
364,Y,1
365,Y,1
366,Y,1
367,Y,1
368,Y,1
369,Y,1
37,Y,1
370,Y,1
371,Y,1
372,Y,1
373,Y,1
374,Y,1
375,Y,1
376,Y,1
377,Y,1
378,Y,1
379,Y,1
38,Y,1
380,Y,1
381,Y,1
382,Y,1
383,Y,1
384,Y,1
385,Y,1
386,Y,1
387,Y,1
388,Y,1
39,Y,1
391,Y,1
392,Y,1
393,Y,1
394,Y,1
395,Y,1
396,Y,1
397,Y,1
398,Y,1
399,Y,1
4,Y,1
403,Y,1
404,Y,1
405,Y,1
407,Y,1
409,Y,1
41,Y,1
413,Y,1
414,Y,1
416,Y,1
417,Y,1
418,Y,1
419,Y,1
42,Y,1
420,Y,1
421,Y,1
422,Y,1
423,Y,1
424,Y,1
425,Y,1
426,Y,1
427,Y,1
428,Y,1
429,Y,1
43,Y,1
430,Y,1
431,Y,1
432,Y,1
433,Y,1
434,Y,1
436,Y,1
437,Y,1
438,Y,1
439,Y,1
44,Y,1
440,Y,1
441,Y,1
442,Y,1
443,Y,1
444,Y,1
445,Y,1
446,Y,1
447,Y,1
448,Y,1
449,Y,1
45,Y,1
450,Y,1
451,Y,1
452,Y,1
453,Y,1
455,Y,1
456,Y,1
457,Y,1
458,Y,1
459,Y,1
46,Y,1
460,Y,1
461,N,2
463,Y,1
464,Y,1
47,Y,1
471,Y,1
475,Y,1
476,Y,1
477,Y,1
48,Y,1
49,Y,1
5,Y,1
50,Y,1
501,Y,1
502,Y,1
503,Y,1
504,Y,1
505,Y,1
506,Y,1
507,Y,1
508,Y,1
509,Y,1
51,Y,1
510,Y,1
511,Y,1
512,Y,1
513,Y,1
514,Y,1
515,Y,1
516,Y,1
517,Y,1
518,Y,1
519,Y,1
52,Y,1
522,Y,1
523,Y,1
53,Y,1
54,Y,1
55,Y,1
56,Y,1
57,Y,1
58,Y,1
59,Y,1
6,Y,1
60,Y,1
601,N,3
602,N,3
603,N,2
604,N,2
605,N,2
606,N,3
607,N,2
608,N,2
609,N,2
61,Y,1
610,N,3
611,N,5
612,N,2
613,N,2
614,N,2
615,N,2
616,N,2
617,N,3
618,N,2
619,N,2
62,Y,1
620,N,3
621,N,3
622,N,2
623,N,4
624,N,4
625,N,2
626,N,2
627,N,2
628,N,4
629,N,2
630,N,2
635,N,2
636,N,2
64,Y,1
65,Y,1
66,Y,1
67,Y,1
68,Y,1
69,Y,1
70,Y,1
71,Y,1
72,Y,1
74,Y,1
75,Y,1
76,Y,1
77,Y,1
78,Y,1
79,Y,1
8,Y,1
80,Y,1
81,Y,1
82,Y,1
83,Y,1
84,Y,1
85,Y,1
86,Y,1
87,Y,1
88,Y,1
89,Y,1
9,Y,1
90,Y,1
91,Y,1
93,Y,1
94,Y,1
95,Y,1
96,Y,1
97,Y,1
98,Y,1
99,Y,1
