s_table_station_name,daytime_routes,complex_id,borough,station_geom
14 St - Union Sq,N Q R W,602,Manhattan,POINT(-73.990568 40.735736)
14 St - Union Sq,4 5 6,602,Manhattan,POINT(-73.989951 40.734673)
145 St,B D,151,Manhattan,POINT(-73.944216 40.824783)
145 St,A C,151,Manhattan,POINT(-73.944216 40.824783)
145 St,1,304,Manhattan,POINT(-73.95036 40.826551)
145 St,3,437,Manhattan,POINT(-73.936245 40.820421)
149 St - Grand Concourse,4,603,Bronx,POINT(-73.927351 40.818375)
149 St - Grand Concourse,2 5,603,Bronx,POINT(-73.926718 40.81841)
161 St - Yankee Stadium,B D,604,Bronx,POINT(-73.925651 40.827905)
161 St - Yankee Stadium,4,604,Bronx,POINT(-73.925831 40.827994)
168 St,A C,605,Manhattan,POINT(-73.939561 40.840719)
34 St - Herald Sq,N Q R W,607,Manhattan,POINT(-73.98795 40.749567)
34 St - Herald Sq,B D F M,607,Manhattan,POINT(-73.987823 40.749719)
4 Av,F G,608,Brooklyn,POINT(-73.989779 40.670272)
59 St - Columbus Circle,A B C D,614,Manhattan,POINT(-73.981736 40.768296)
59 St - Columbus Circle,1,614,Manhattan,POINT(-73.981929 40.768247)
Alabama Av,J,91,Brooklyn,POINT(-73.898654 40.676992)
Atlantic Av - Barclays Ctr,D N R,617,Brooklyn,POINT(-73.97881 40.683666)
Atlantic Av - Barclays Ctr,B Q,617,Brooklyn,POINT(-73.97689 40.68446)
Atlantic Av - Barclays Ctr,2 3,617,Brooklyn,POINT(-73.977666 40.684359)
Avenue H,B Q,48,Brooklyn,POINT(-73.961639 40.62927)
Avenue J,B Q,49,Brooklyn,POINT(-73.960803 40.625039)
Avenue M,B Q,50,Brooklyn,POINT(-73.959399 40.617618)
Avenue U,B Q,52,Brooklyn,POINT(-73.955929 40.5993)
Avenue U,N,78,Brooklyn,POINT(-73.979137 40.597473)
Avenue U,F,251,Brooklyn,POINT(-73.973357 40.596063)
Beverley Rd,B Q,45,Brooklyn,POINT(-73.964492 40.644031)
Broadway Jct,J Z,621,Brooklyn,POINT(-73.904512 40.679498)
Broadway Jct,L,621,Brooklyn,POINT(-73.90324 40.678856)
Broadway Jct,A C,621,Brooklyn,POINT(-73.905316 40.678334)
Canal St,R W,623,Manhattan,POINT(-74.001775 40.719527)
Canal St,N Q,623,Manhattan,POINT(-74.00046 40.718383)
Canal St,J Z,623,Manhattan,POINT(-73.999892 40.718092)
Canal St,A C E,169,Manhattan,POINT(-74.005229 40.720824)
Canal St,1,325,Manhattan,POINT(-74.006277 40.722854)
Canal St,6,623,Manhattan,POINT(-74.000193 40.718803)
Church Av,B Q,44,Brooklyn,POINT(-73.962982 40.650527)
Church Av,F,243,Brooklyn,POINT(-73.979678 40.644041)
Church Av,2 5,356,Brooklyn,POINT(-73.949575 40.650843)
Cortelyou Rd,B Q,46,Brooklyn,POINT(-73.963891 40.640927)
Court Sq,E M,606,Queens,POINT(-73.946 40.747846)
Court Sq,G,606,Queens,POINT(-73.943832 40.746554)
Court Sq,7,606,Queens,POINT(-73.945264 40.747023)
Court St,R,620,Brooklyn,POINT(-73.991777 40.6941)
Franklin Av,S,627,Brooklyn,POINT(-73.955827 40.680596)
Franklin Av,C,627,Brooklyn,POINT(-73.956848 40.68138)
Franklin Av,2 3 4 5,626,Brooklyn,POINT(-73.958131 40.670682)
Fulton St,J Z,628,Manhattan,POINT(-74.007582 40.710374)
Fulton St,A C,628,Manhattan,POINT(-74.007691 40.710197)
Fulton St,G,292,Brooklyn,POINT(-73.975375 40.687119)
Fulton St,2 3,628,Manhattan,POINT(-74.006571 40.709416)
Fulton St,4 5,628,Manhattan,POINT(-74.009509 40.710368)
Grand Central - 42 St,4 5 6,610,Manhattan,POINT(-73.976848 40.751776)
Grand Central - 42 St,7,610,Manhattan,POINT(-73.976041 40.751431)
Grand Central - 42 St,S,610,Manhattan,POINT(-73.979189 40.752769)
Hoyt St,2 3,336,Brooklyn,POINT(-73.985065 40.690545)
Jay St - MetroTech,R,636,Brooklyn,POINT(-73.985942 40.69218)
Jay St - MetroTech,A C F,636,Brooklyn,POINT(-73.987342 40.692338)
Lexington Av/59 St,N W R,613,Manhattan,POINT(-73.967258 40.76266)
Myrtle - Wyckoff Avs,M,630,Brooklyn,POINT(-73.912385 40.69943)
Myrtle - Wyckoff Avs,L,630,Brooklyn,POINT(-73.911586 40.699814)
Queensboro Plaza,N W,461,Queens,POINT(-73.940202 40.750582)
Queensboro Plaza,7,461,Queens,POINT(-73.940202 40.750582)