station_complex_name,station_geom,ridership_2013,ridership_2018,routes,ridership_perc_change
Central Park North (110 St),POINT (-73.951822 40.799075),9130,8815,2 3,-3.5
Chambers St,POINT (-74.009266 40.715478),23147,21303,1 2 3,-8.0
Chambers St / WTC / Park Place,POINT (-74.008698 40.713581000000005),58923,72396,A C E 2 3,22.9
Chauncey St,POINT (-73.910456 40.682893),2967,3387,J Z,14.2
Christopher St - Sheridan Sq,POINT (-74.002906 40.733422),10076,9675,1,-4.0
Church Av,POINT (-73.949575 40.650843),9794,9193,2 5,-6.1
Church Av,POINT (-73.962982 40.650527),17638,16528,B Q,-6.3
Church Av,POINT (-73.979678 40.644041),9984,9492,F G,-4.9
City Hall,POINT (-74.006978 40.713282),5666,6657,R W,17.5
Clark St,POINT (-73.993086 40.697466),5971,5275,2 3,-11.7
Classon Av,POINT (-73.96007 40.688873),4490,5301,G,18.1
Cleveland St,POINT (-73.884639 40.679947),3328,2975,J,-10.6
Clinton - Washington Avs,POINT (-73.965838 40.683263),6642,7068,C,6.4
Clinton - Washington Avs,POINT (-73.966839 40.688089),5294,5025,G,-5.1
Coney Island - Stillwell Av,POINT (-73.981233 40.577422),13177,13203,D F N Q,0.2
Cortelyou Rd,POINT (-73.963891 40.640927),5318,6276,Q,18.0
Court Sq,POINT (-73.94503200000001 40.747141000000006),20446,23995,E G M 7,17.4
Court St,POINT (-73.991777 40.6941),38428,35599,R 2 3 4 5,-7.4
Crescent St,POINT (-73.873785 40.683194),4683,4539,J Z,-3.1
Crown Hts - Utica Av,POINT (-73.932942 40.668897),27780,25336,3 4,-8.8
Cypress Av,POINT (-73.914042 40.805368),3842,3651,6,-5.0
Cypress Hills,POINT (-73.87255 40.689941),1431,1457,J,1.8
DeKalb Av,POINT (-73.981824 40.690635),17318,22069,B Q R,27.4
DeKalb Av,POINT (-73.918425 40.703811),11617,12638,L,8.8
Delancey St / Essex St,POINT (-73.9877755 40.718463),23691,24562,F J M Z,3.7
Ditmas Av,POINT (-73.978172 40.636119),4676,3904,F,-16.5
Dyckman St,POINT (-73.925536 40.860531),6564,7002,1,6.7
Dyckman St,POINT (-73.927271 40.865491),6557,6477,A,-1.2
E 105 St,POINT (-73.899485 40.650573),3818,3798,L,-0.5
E 143 St - St Mary's St,POINT (-73.907657 40.808719),911,1019,6,11.9
E 149 St,POINT (-73.904098 40.812118),4580,4842,6,5.7
E 180 St,POINT (-73.873488 40.841894),7003,7175,2 5,2.5
East Broadway,POINT (-73.990173 40.713715),13276,13868,F,4.5
Eastchester - Dyre Av,POINT (-73.830834 40.8883),4948,4506,5,-8.9
Eastern Pkwy - Brooklyn Museum,POINT (-73.964375 40.671987),4938,4637,2 3,-6.1
Elder Av,POINT (-73.879159 40.828584),6377,6323,6,-0.8
Elmhurst Av,POINT (-73.882017 40.742454),13597,12463,M R,-8.3
Euclid Av,POINT (-73.872106 40.675377),10418,10191,A C,-2.2
Far Rockaway - Mott Av,POINT (-73.755405 40.603995),2651,4435,A,67.3
Flatbush Av - Brooklyn College,POINT (-73.947642 40.632836),21941,19763,2 5,-9.9
Flushing - Main St,POINT (-73.83003 40.7596),60190,55669,7,-7.5
Flushing Av,POINT (-73.950234 40.700377),2373,2949,G,24.3
Flushing Av,POINT (-73.941126 40.70026),9165,8336,J M,-9.0
Fordham Rd,POINT (-73.901034 40.862803),12558,10395,4,-17.2
Fordham Rd,POINT (-73.897749 40.861296),11878,11361,B D,-4.4
Forest Av,POINT (-73.903077 40.704423),4103,3124,M,-23.9
Forest Hills - 71 Av,POINT (-73.844521 40.721691),27728,26613,E F M R,-4.0
Fort Hamilton Pkwy,POINT (-73.994304 40.640914),3984,3936,D,-1.2
Fort Hamilton Pkwy,POINT (-74.005351 40.631386),7034,3232,N,-54.1
Fort Hamilton Pkwy,POINT (-73.975776 40.650782),5531,5807,F G,5.0
Franklin Av,POINT (-73.95633749999999 40.680988),6227,6358,C S,2.1
Franklin Av,POINT (-73.958131 40.670682),15775,14581,2 3 4 5 S,-7.6
Franklin St,POINT (-74.006886 40.719318),5825,5943,1,2.0
Freeman St,POINT (-73.891865 40.829993),4762,4451,2 5,-6.5
Fresh Pond Rd,POINT (-73.895877 40.706186),5333,4716,M,-11.6
Fulton St,POINT (-73.975375 40.687119),4266,5462,G,28.0
Fulton St,POINT (-74.00783824999999 40.71008875),64461,92990,A C J Z 2 3 4 5,44.3
Gates Av,POINT (-73.92227 40.68963),5999,7255,J Z,20.9
Graham Av,POINT (-73.944053 40.714565),10136,9959,L,-1.7
Grand Army Plaza,POINT (-73.971046 40.675235),8066,7188,2 3,-10.9
Grand Av - Newtown,POINT (-73.877223 40.737015),18298,18489,M R,1.0
Grand Central - 42 St,POINT (-73.97735933333333 40.751992),153861,155345,S 4 5 6 7,1.0
Grand St,POINT (-73.94067 40.711926),7444,6964,L,-6.4
Grand St,POINT (-73.993753 40.718267),23770,23422,B D,-1.5
Grant Av,POINT (-73.86505 40.677044),6270,5896,A,-6.0
Greenpoint Av,POINT (-73.954449 40.731352),8461,9509,G,12.4
Gun Hill Rd,POINT (-73.846384 40.869526),6002,5362,5,-10.7
Gun Hill Rd,POINT (-73.866256 40.87785),7339,6930,2 5,-5.6
Halsey St,POINT (-73.916559 40.68637),5805,6579,J,13.3
Halsey St,POINT (-73.904084 40.695602),7308,8386,L,14.8
Harlem - 148 St,POINT (-73.93647 40.82388),3790,4074,3,7.5
Hewes St,POINT (-73.953431 40.70687),2859,2782,J M,-2.7
High St,POINT (-73.990531 40.699337),7543,10281,A C,36.3
Houston St,POINT (-74.005367 40.728251),15736,15698,1,-0.2
Howard Beach - JFK Airport,POINT (-73.830301 40.660476),4972,3376,A,-32.1
Hoyt - Schermerhorn Sts,POINT (-73.985001 40.688484),9604,10540,A C G,9.7
Hoyt St,POINT (-73.985065 40.690545),6657,6938,A C,4.2
Hunters Point Av,POINT (-73.948916 40.742216),6400,7205,7,12.6
Hunts Point Av,POINT (-73.890549 40.820948),10144,10460,6,3.1
Intervale Av,POINT (-73.896736 40.822181),3420,3130,2 5,-8.5
Inwood - 207 St,POINT (-73.919899 40.868072),8866,8793,A,-0.8
Jackson Av,POINT (-73.907807 40.81649),5432,5288,2 5,-2.7
Jamaica - 179 St,POINT (-73.783817 40.712646),23280,21452,F,-7.9
Jamaica - Van Wyck,POINT (-73.816859 40.702566),4992,4717,E,-5.5
Jamaica Center - Parsons/Archer,POINT (-73.801109 40.702147),41686,36368,E J Z,-12.8
Jay St - MetroTech,POINT (-73.98664199999999 40.692259),40183,42274,A C F R,5.2
Jefferson St,POINT (-73.922913 40.706607),6612,7674,L,16.1
Junction Blvd,POINT (-73.869527 40.749145),20818,21100,7,1.4
Junius St,POINT (-73.902447 40.663515),2206,2080,3,-5.7
Kew Gardens - Union Tpke,POINT (-73.831008 40.714441),28289,25536,E F,-9.7
Kings Hwy,POINT (-73.972361 40.603217),3655,4567,F,25.0
Kings Hwy,POINT (-73.980353 40.603923),5154,3328,N,-35.4
Kings Hwy,POINT (-73.957734 40.60867),18799,19569,B Q,4.1
Kingsbridge Rd,POINT (-73.897174 40.86776),10431,8992,4,-13.8
Kingsbridge Rd,POINT (-73.893509 40.866978),7422,7922,B D,6.7
Kingston - Throop Avs,POINT (-73.940858 40.679921),5678,6585,C,16.0
Kingston Av,POINT (-73.942161 40.669399),4949,4623,3,-6.6
Knickerbocker Av,POINT (-73.919711 40.698664),3429,2446,M,-28.7
Kosciuszko St,POINT (-73.928814 40.693342),4751,6144,J,29.3
Lafayette Av,POINT (-73.973946 40.686113),4825,4889,C,1.3
Lexington Av/53 St / 51 St,POINT (-73.97048749999999 40.7573295),69973,64499,E M 6,-7.8
Lexington Av/59 St,POINT (-73.967258 40.76266),67841,55608,N W R 4 5 6,-18.0
Lexington Av/63 St,POINT (-73.966113 40.764629),15404,21394,F Q,38.9
Liberty Av,POINT (-73.896548 40.674542),2658,2754,C,3.6
Livonia Av,POINT (-73.900571 40.664038),2959,3209,L,8.4
Longwood Av,POINT (-73.896435 40.816104),3494,3395,6,-2.8
Lorimer St,POINT (-73.947408 40.703869),4796,4837,J M,0.9
Lorimer St / Metropolitan Av,POINT (-73.95084650000001 40.7134275),14004,14299,L G,2.1
Marble Hill - 225 St,POINT (-73.909831 40.874561),5456,5433,1,-0.4
Marcy Av,POINT (-73.957757 40.708359),11775,13315,J M Z,13.1
Mets - Willets Point,POINT (-73.845625 40.754622),4675,4606,7,-1.5
Middle Village - Metropolitan Av,POINT (-73.889601 40.711396),4092,3225,M,-21.2
Middletown Rd,POINT (-73.836322 40.843863),1514,2036,6,34.5
Montrose Av,POINT (-73.93985 40.707739),6731,6884,L,2.3
Morgan Av,POINT (-73.933147 40.706152),7126,7510,L,5.4
Morris Park,POINT (-73.860495 40.854364),2210,2417,5,9.4
Morrison Av- Sound View,POINT (-73.874516 40.829521),6588,6361,6,-3.4
Mosholu Pkwy,POINT (-73.884655 40.87975),9588,8195,4,-14.5
Mt Eden Av,POINT (-73.914685 40.844434),5995,5337,4,-11.0
Myrtle - Willoughby Avs,POINT (-73.949046 40.694568),4916,5736,G,16.7
Myrtle - Wyckoff Avs,POINT (-73.9119855 40.699622000000005),18167,21241,L M,16.9
Myrtle Av,POINT (-73.935657 40.697207),10876,12122,J M Z,11.5
Nassau Av,POINT (-73.951277 40.724635),8435,9312,G,10.4
Neck Rd,POINT (-73.955161 40.595246),3941,4405,B Q,11.8
Neptune Av,POINT (-73.974574 40.581011),1749,1516,F,-13.3
Nereid Av,POINT (-73.854376 40.898379),3878,3437,2 5,-11.4
Nevins St,POINT (-73.980492 40.688246),11468,10426,2 3 4 5,-9.1
New Lots Av,POINT (-73.884079 40.666235),6349,5573,3,-12.2
New Lots Av,POINT (-73.899232 40.658733),4785,4869,L,1.8
New Utrecht Av / 62 St,POINT (-73.996624 40.625657000000004),5159,4673,N G,-9.4
Newkirk Av,POINT (-73.948411 40.639967),7757,7312,2 5,-5.7
Newkirk Plaza,POINT (-73.962793 40.635082),10788,10534,B Q,-2.4
Northern Blvd,POINT (-73.906006 40.752885),7235,6904,M R,-4.6
Norwood - 205 St,POINT (-73.878855 40.874811),8043,8429,D,4.8
Norwood Av,POINT (-73.880039 40.68141),3492,3190,J Z,-8.6
Nostrand Av,POINT (-73.950466 40.669847),4151,3907,3,-5.9
Nostrand Av,POINT (-73.950426 40.680438),16843,17437,A C,3.5
Ocean Pkwy,POINT (-73.968501 40.576312),3141,3199,Q,1.8
Ozone Park - Lefferts Blvd,POINT (-73.825798 40.685951),7476,7591,A,1.5
Park Pl,POINT (-73.957624 40.674772),2077,1725,S,-16.9
Parkchester,POINT (-73.860816 40.833226),16614,15660,6,-5.7
Parkside Av,POINT (-73.961495 40.655292),4240,6050,B Q,42.7
Parsons Blvd,POINT (-73.803326 40.707564),6463,6462,F,-0.0
Pelham Bay Park,POINT (-73.828121 40.852462),6772,7001,6,3.4
Pelham Pkwy,POINT (-73.855359 40.858985),3254,3083,5,-5.3
Pelham Pkwy,POINT (-73.867615 40.857192),9614,8472,2 5,-11.9
Pennsylvania Av,POINT (-73.894895 40.664635),5675,4331,3,-23.7
President St,POINT (-73.950683 40.667883),3969,4019,2 5,1.3
Prince St,POINT (-73.997702 40.724329),15261,14408,R W,-5.6
Prospect Av,POINT (-73.992872 40.665414),5934,5523,R,-6.9
Prospect Av,POINT (-73.90177 40.819585),7424,7038,2 5,-5.2
Prospect Park,POINT (-73.962246 40.661614),9761,10059,B Q,3.1
Queens Plaza,POINT (-73.937243 40.748973),9696,12747,E M R,31.5
Queensboro Plaza,POINT (-73.940202 40.750582),11132,14517,N W 7,30.4
Ralph Av,POINT (-73.920786 40.678822),5381,5768,C,7.2
Rector St,POINT (-74.013783 40.707513),11323,9005,1,-20.5
Rector St,POINT (-74.013342 40.70722),5362,7185,R W,34.0
Rockaway Av,POINT (-73.908946 40.662549),5632,4747,3,-15.7
Rockaway Av,POINT (-73.911946 40.67834),5137,5667,C,10.3
Rockaway Blvd,POINT (-73.843853 40.680429),8662,7534,A,-13.0
Rockaway Park - Beach 116 St,POINT (-73.835592 40.580903),379,696,A S,83.6
Roosevelt Island,POINT (-73.95326 40.759145),6321,7153,F,13.2
Saratoga Av,POINT (-73.916327 40.661453),5807,5246,3,-9.7
Seneca Av,POINT (-73.90774 40.702762),2428,1818,M,-25.1
Sheepshead Bay,POINT (-73.954155 40.586896),14010,13946,B Q,-0.5
Shepherd Av,POINT (-73.88075 40.67413),3149,3182,C,1.0
Simpson St,POINT (-73.893064 40.824073),9672,8477,2 5,-12.4
Smith - 9 Sts,POINT (-73.995959 40.67358),2854,4689,F G,64.3
South Ferry / Whitehall St,POINT (-74.013329 40.7025775),20405,33797,1 R W,65.6
Spring St,POINT (-73.997141 40.722301),12257,10822,6,-11.7
Spring St,POINT (-74.003739 40.726227),13136,13054,C E,-0.6
St Lawrence Av,POINT (-73.867618 40.831509),3995,4040,6,1.1
Steinway St,POINT (-73.92074 40.756879),14769,15590,M R,5.6
Sterling St,POINT (-73.95085 40.662742),5915,5684,2 5,-3.9
Sutphin Blvd,POINT (-73.810708 40.70546),4932,4291,F,-13.0
Sutphin Blvd - Archer Av - JFK Airport,POINT (-73.807969 40.700486),23012,23388,E J Z,1.6
Sutter Av,POINT (-73.901975 40.669367),4555,4029,L,-11.5
Sutter Av - Rutland Rd,POINT (-73.92261 40.664717),7831,6657,3,-15.0
Times Sq - 42 St / 42 St,POINT (-73.98704224999999 40.7553555),197696,204017,N Q R W S 1 2 3 7 A C E,3.2
Tremont Av,POINT (-73.905227 40.85041),9157,10398,B D,13.6
Union St,POINT (-73.98311 40.677316),6528,6835,R,4.7
Utica Av,POINT (-73.930729 40.679364),14673,16121,A C,9.9
Van Cortlandt Park - 242 St,POINT (-73.898583 40.889248),6943,7742,1,11.5
Van Siclen Av,POINT (-73.889395 40.665449),3431,2904,3,-15.4
Van Siclen Av,POINT (-73.890358 40.67271),2974,3021,C,1.6
Van Siclen Av,POINT (-73.891688 40.678024),2883,2678,J Z,-7.1
Vernon Blvd - Jackson Av,POINT (-73.953581 40.742626),12610,15093,7,19.7
W 4 St - Washington Sq,POINT (-74.000495 40.732338),40798,40666,A B C D E F M,-0.3
W 8 St - NY Aquarium,POINT (-73.975939 40.576127),2069,2469,F Q,19.3
Wakefield - 241 St,POINT (-73.85062 40.903125),4825,4763,2,-1.3
Wall St,POINT (-74.0091 40.706821),26706,23968,2 3,-10.3
Wall St,POINT (-74.011862 40.707557),25078,19745,4 5,-21.3
West Farms Sq - E Tremont Av,POINT (-73.880049 40.840295),7979,6866,2 5,-13.9
Westchester Sq - E Tremont Av,POINT (-73.842952 40.839892),6820,6097,6,-10.6
Whitlock Av,POINT (-73.886283 40.826525),1685,1894,6,12.4
Wilson Av,POINT (-73.904046 40.688764),3865,4468,L,15.6
Winthrop St,POINT (-73.9502 40.656652),7639,7262,2 5,-4.9
Woodhaven Blvd,POINT (-73.851576 40.693879),4576,4771,J Z,4.3
Woodhaven Blvd,POINT (-73.869229 40.733106),22276,20704,M R,-7.1
Woodlawn,POINT (-73.878751 40.886037),7776,6937,4,-10.8
Woodside - 61 St,POINT (-73.902984 40.74563),16559,16501,7,-0.4
York St,POINT (-73.986751 40.701397),8629,11032,F,27.8
Zerega Av,POINT (-73.847036 40.836488),3253,2629,6,-19.2
