borough,station,route,ridership_2013,ridership_2018,station_geom
Brooklyn,Shepherd Av,C,3149,3182,POINT(-73.88075 40.67413)
Brooklyn,Smith - 9 Sts,F G,2854,4689,POINT(-73.995959 40.67358)
Brooklyn,Sterling St,2 5,5915,5684,POINT(-73.95085 40.662742)
Brooklyn,Sutter Av,L,4555,4029,POINT(-73.901975 40.669367)
Brooklyn,Sutter Av - Rutland Rd,3,7831,6657,POINT(-73.92261 40.664717)
Brooklyn,Union St,R,6528,6835,POINT(-73.98311 40.677316)
Brooklyn,Utica Av,A C,14673,16121,POINT(-73.930729 40.679364)
Brooklyn,Van Siclen Av,3,3431,2904,POINT(-73.889395 40.665449)
Brooklyn,Van Siclen Av,C,2974,3021,POINT(-73.890358 40.67271)
Brooklyn,Van Siclen Av,J Z,2883,2678,POINT(-73.891688 40.678024)
Brooklyn,W 8 St - NY Aquarium,F Q,2069,2469,POINT(-73.975939 40.576127)
Brooklyn,Wilson Av,L,3865,4468,POINT(-73.904046 40.688764)
Brooklyn,Winthrop St,2 5,7639,7262,POINT(-73.9502 40.656652)
Brooklyn,York St,F,8629,11032,POINT(-73.986751 40.701397)
Manhattan,1 Av,L,23467,20998,POINT(-73.981628 40.730953)
Manhattan,103 St,1,13500,12569,POINT(-73.968379 40.799446)
Manhattan,103 St,6,16189,13285,POINT(-73.947478 40.7906)
Manhattan,103 St,B C,4760,5444,POINT(-73.961454 40.796092)
Manhattan,110 St,6,12162,10851,POINT(-73.94425 40.79502)
Manhattan,116 St,2 3,11508,10707,POINT(-73.949625 40.802098)
Manhattan,116 St,6,16675,14715,POINT(-73.941617 40.798629)
Manhattan,116 St,B C,6594,7613,POINT(-73.954882 40.805085)
Manhattan,116 St - Columbia University,1,16363,15079,POINT(-73.96411 40.807722)
Manhattan,125 St,1,7995,7679,POINT(-73.958372 40.815581)
Manhattan,125 St,2 3,15351,14746,POINT(-73.945495 40.807754)
Manhattan,125 St,4 5 6,29425,27605,POINT(-73.937594 40.804138)
Manhattan,125 St,A B C D,27395,27677,POINT(-73.952343 40.811109)
Manhattan,135 St,2 3,14690,14343,POINT(-73.94077 40.814229)
Manhattan,135 St,B C,5592,5490,POINT(-73.947649 40.817894)
Manhattan,137 St - City College,1,14947,13371,POINT(-73.953676 40.822008)
Manhattan,145 St,1,9931,9433,POINT(-73.95036 40.826551)
Manhattan,145 St,3,3426,2105,POINT(-73.936245 40.820421)
Manhattan,155 St,B D,3948,3595,POINT(-73.938209 40.830135)
Manhattan,155 St,C,2529,3168,POINT(-73.941514 40.830518)
Manhattan,157 St,1,10677,11036,POINT(-73.94489 40.834041)
Manhattan,163 St - Amsterdam Av,C,4080,1711,POINT(-73.939892 40.836013)
Manhattan,175 St,A,13309,12580,POINT(-73.939704 40.847391)
Manhattan,18 St,1,8505,8860,POINT(-73.997871 40.74104)
Manhattan,181 St,1,11228,11342,POINT(-73.933596 40.849505)
Manhattan,181 St,A,10404,10760,POINT(-73.937969 40.851695)
Manhattan,190 St,A,4546,4574,POINT(-73.93418 40.859022)
Manhattan,191 St,1,8258,8032,POINT(-73.929412 40.855225)
Manhattan,2 Av,F,17801,15995,POINT(-73.989938 40.723402)
Manhattan,207 St,1,6098,6349,POINT(-73.918822 40.864621)
Manhattan,215 St,1,2078,1787,POINT(-73.915279 40.869444)
Manhattan,23 St,1,15283,15470,POINT(-73.995657 40.744081)
Manhattan,23 St,6,31777,31597,POINT(-73.986599 40.739864)
Manhattan,23 St,C E,24782,24397,POINT(-73.998041 40.745906)
Manhattan,23 St,F M,28749,18416,POINT(-73.992821 40.742878)
Manhattan,23 St,R W,22760,26381,POINT(-73.989344 40.741303)
Manhattan,28 St,1,15149,14797,POINT(-73.993365 40.747215)
Manhattan,28 St,6,23696,12019,POINT(-73.984264 40.74307)
Manhattan,28 St,R W,11607,14302,POINT(-73.988691 40.745494)
Manhattan,3 Av,L,6803,6749,POINT(-73.986122 40.732849)
Manhattan,33 St,6,32783,32608,POINT(-73.982076 40.746081)
Manhattan,34 St - Penn Station,1 2 3,90042,85180,POINT(-73.991057 40.750373)
Manhattan,34 St - Penn Station,A C E,83717,80346,POINT(-73.993391 40.752287)
Manhattan,47-50 Sts - Rockefeller Ctr,B D F M,61099,61027,POINT(-73.981329 40.758663)
Manhattan,49 St,N R W,25356,25911,POINT(-73.984139 40.759901)
Manhattan,5 Av/53 St,E M,25939,27612,POINT(-73.975224 40.760167)
Manhattan,5 Av/59 St,N W R,18394,16638,POINT(-73.973347 40.764811)
Manhattan,50 St,1,26192,26268,POINT(-73.983849 40.761728)
Manhattan,50 St,C E,19406,19757,POINT(-73.985984 40.762456)
Manhattan,57 St,F,15363,7638,POINT(-73.97745 40.763972)
Manhattan,57 St - 7 Av,N Q R W,28159,37870,POINT(-73.980658 40.764664)
Manhattan,66 St - Lincoln Center,1,23651,22890,POINT(-73.982209 40.77344)
Manhattan,68 St - Hunter College,6,36562,22757,POINT(-73.96387 40.768141)
Manhattan,7 Av,B D E,15800,17947,POINT(-73.981637 40.762862)
Manhattan,72 St,1 2 3,40853,39477,POINT(-73.98197 40.778453)
Manhattan,72 St,B C,9067,4472,POINT(-73.97641 40.775594)
Manhattan,77 St,6,37182,25369,POINT(-73.959874 40.77362)
Manhattan,79 St,1,16576,15175,POINT(-73.979917 40.783934)
Manhattan,8 St - NYU,R W,16597,17192,POINT(-73.992629 40.730328)
Manhattan,81 St - Museum of Natural History,B C,13663,15383,POINT(-73.972143 40.781433)
Manhattan,86 St,1,19766,19325,POINT(-73.976218 40.788644)
Manhattan,86 St,4 5 6,64741,43169,POINT(-73.955589 40.779492)
Manhattan,86 St,B C,11236,6007,POINT(-73.968916 40.785868)
Manhattan,96 St,1 2 3,38711,36026,POINT(-73.972323 40.793919)
Manhattan,96 St,6,26232,17447,POINT(-73.95107 40.785672)
Manhattan,96 St,B C,9815,9924,POINT(-73.964696 40.791642)
Manhattan,Astor Pl,6,17914,16031,POINT(-73.99107 40.730054)
Manhattan,Bowery,J Z,2743,3738,POINT(-73.993915 40.72028)
Manhattan,Bowling Green,4 5,30640,28646,POINT(-74.014065 40.704817)
Manhattan,Broad St,J Z,5635,7050,POINT(-74.011056 40.706476)
Manhattan,Canal St,1,6039,6410,POINT(-74.006277 40.722854)
Manhattan,Canal St,A C E,19738,20424,POINT(-74.005229 40.720824)
Manhattan,Cathedral Pkwy,1,13874,12526,POINT(-73.966847 40.803967)
Manhattan,Cathedral Pkwy (110 St),B C,7117,3785,POINT(-73.958161 40.800603)
Manhattan,Central Park North (110 St),2 3,9130,8815,POINT(-73.951822 40.799075)
Manhattan,Chambers St,1 2 3,23147,21303,POINT(-74.009266 40.715478)
Manhattan,Christopher St - Sheridan Sq,1,10076,9675,POINT(-74.002906 40.733422)
Manhattan,City Hall,R W,5666,6657,POINT(-74.006978 40.713282)
Manhattan,Dyckman St,1,6564,7002,POINT(-73.925536 40.860531)
Manhattan,Dyckman St,A,6557,6477,POINT(-73.927271 40.865491)
Manhattan,East Broadway,F,13276,13868,POINT(-73.990173 40.713715)
Manhattan,Franklin St,1,5825,5943,POINT(-74.006886 40.719318)
Manhattan,Grand St,B D,23770,23422,POINT(-73.993753 40.718267)
Manhattan,Harlem - 148 St,3,3790,4074,POINT(-73.93647 40.82388)
Manhattan,Houston St,1,15736,15698,POINT(-74.005367 40.728251)
Manhattan,Inwood - 207 St,A,8866,8793,POINT(-73.919899 40.868072)
Manhattan,Lexington Av/63 St,F Q,15404,21394,POINT(-73.966113 40.764629)
Manhattan,Marble Hill - 225 St,1,5456,5433,POINT(-73.909831 40.874561)
Manhattan,Prince St,R W,15261,14408,POINT(-73.997702 40.724329)
Manhattan,Rector St,1,11323,9005,POINT(-74.013783 40.707513)
Manhattan,Rector St,R W,5362,7185,POINT(-74.013342 40.70722)
Manhattan,Roosevelt Island,F,6321,7153,POINT(-73.95326 40.759145)
Manhattan,Spring St,6,12257,10822,POINT(-73.997141 40.722301)
Manhattan,Spring St,C E,13136,13054,POINT(-74.003739 40.726227)
Manhattan,WTC Cortlandt,1,0,3558,POINT(-74.012188 40.711835)
Manhattan,Wall St,2 3,26706,23968,POINT(-74.0091 40.706821)
Manhattan,Wall St,4 5,25078,19745,POINT(-74.011862 40.707557)
Queens,103 St - Corona Plaza,7,19216,19682,POINT(-73.8627 40.749865)
Queens,104 St,A,1736,1841,POINT(-73.837683 40.681711)
Queens,104 St,J Z,2575,1587,POINT(-73.84433 40.695178)
Queens,111 St,7,10914,11091,POINT(-73.855334 40.75173)
Queens,111 St,A,2718,2596,POINT(-73.832163 40.684331)
Queens,111 St,J,2605,2819,POINT(-73.836345 40.697418)
Queens,121 St,J Z,2222,1354,POINT(-73.828294 40.700492)
Queens,169 St,F,9042,8109,POINT(-73.793604 40.71047)
Queens,21 St,G,1309,1757,POINT(-73.949724 40.744065)
Queens,21 St - Queensbridge,F,8761,10840,POINT(-73.942836 40.754203)
Queens,30 Av,N W,14802,8286,POINT(-73.921479 40.766779)
Queens,33 St,7,14246,11029,POINT(-73.930997 40.744587)
Queens,36 Av,N W,7688,5073,POINT(-73.929575 40.756804)
Queens,36 St,M R,4540,5177,POINT(-73.928781 40.752039)
Queens,39 Av,N W,3262,2356,POINT(-73.932755 40.752882)
Queens,40 St,7,11100,9954,POINT(-73.924016 40.743781)
Queens,46 St,7,14656,12828,POINT(-73.918435 40.743132)
Queens,46 St,M R,9529,8752,POINT(-73.913333 40.756312)
Queens,52 St,7,6830,6001,POINT(-73.912549 40.744149)
Queens,63 Dr - Rego Park,M R,16334,15574,POINT(-73.861604 40.729846)
Queens,65 St,M R,3532,3601,POINT(-73.898453 40.749669)
Queens,67 Av,M R,9475,8774,POINT(-73.852719 40.726523)
Queens,69 St,7,5085,4679,POINT(-73.896403 40.746325)
Queens,75 Av,E F,3763,3455,POINT(-73.837324 40.718331)
Queens,75 St,J Z,3759,3464,POINT(-73.867139 40.691324)
Queens,80 St,A,4291,4316,POINT(-73.858992 40.679371)
Queens,82 St - Jackson Hts,7,15662,14626,POINT(-73.883697 40.747659)
Queens,85 St - Forest Pkwy,J,3792,3699,POINT(-73.86001 40.692435)
Queens,88 St,A,2719,2835,POINT(-73.85147 40.679843)
Queens,90 St - Elmhurst Av,7,16743,16253,POINT(-73.876613 40.748408)
Queens,Aqueduct - N Conduit Av,A,1951,921,POINT(-73.834058 40.668234)
Queens,Aqueduct Racetrack,A,551,1901,POINT(-73.835919 40.672097)
Queens,Astoria - Ditmars Blvd,N W,17039,15663,POINT(-73.912034 40.775036)
Queens,Astoria Blvd,N W,12210,14425,POINT(-73.917843 40.770258)
Queens,Beach 105 St,A S,141,261,POINT(-73.827559 40.583209)
Queens,Beach 25 St,A,904,1792,POINT(-73.761353 40.600066)
Queens,Beach 36 St,A,466,887,POINT(-73.768175 40.595398)
Queens,Beach 44 St,A,297,693,POINT(-73.776013 40.592943)
Queens,Beach 60 St,A,1317,2013,POINT(-73.788522 40.592374)
Queens,Beach 67 St,A,1118,2103,POINT(-73.796924 40.590927)
Queens,Beach 90 St,A S,463,1097,POINT(-73.813641 40.588034)
Queens,Beach 98 St,A S,292,481,POINT(-73.820558 40.585307)
Queens,Briarwood - Van Wyck Blvd,E F,4664,4913,POINT(-73.820574 40.709179)
Queens,Broad Channel,A S,127,285,POINT(-73.815925 40.608382)
Queens,Broadway,N W,13280,8473,POINT(-73.925508 40.76182)
Queens,Elmhurst Av,M R,13597,12463,POINT(-73.882017 40.742454)
Queens,Far Rockaway - Mott Av,A,2651,4435,POINT(-73.755405 40.603995)
Queens,Flushing - Main St,7,60190,55669,POINT(-73.83003 40.7596)
Queens,Forest Av,M,4103,3124,POINT(-73.903077 40.704423)
Queens,Forest Hills - 71 Av,E F M R,27728,26613,POINT(-73.844521 40.721691)
Queens,Fresh Pond Rd,M,5333,4716,POINT(-73.895877 40.706186)
Queens,Grand Av - Newtown,M R,18298,18489,POINT(-73.877223 40.737015)
Queens,Halsey St,L,7308,8386,POINT(-73.904084 40.695602)
Queens,Howard Beach - JFK Airport,A,4972,3376,POINT(-73.830301 40.660476)
Queens,Hunters Point Av,7,6400,7205,POINT(-73.948916 40.742216)
Queens,Jamaica - 179 St,F,23280,21452,POINT(-73.783817 40.712646)
Queens,Jamaica - Van Wyck,E,4992,4717,POINT(-73.816859 40.702566)
Queens,Jamaica Center - Parsons/Archer,E J Z,41686,36368,POINT(-73.801109 40.702147)
Queens,Junction Blvd,7,20818,21100,POINT(-73.869527 40.749145)
Queens,Kew Gardens - Union Tpke,E F,28289,25536,POINT(-73.831008 40.714441)
Queens,Mets - Willets Point,7,4675,4606,POINT(-73.845625 40.754622)
Queens,Middle Village - Metropolitan Av,M,4092,3225,POINT(-73.889601 40.711396)
Queens,Northern Blvd,M R,7235,6904,POINT(-73.906006 40.752885)
Queens,Ozone Park - Lefferts Blvd,A,7476,7591,POINT(-73.825798 40.685951)
Queens,Parsons Blvd,F,6463,6462,POINT(-73.803326 40.707564)
Queens,Queens Plaza,E M R,9696,12747,POINT(-73.937243 40.748973)
Queens,Rockaway Blvd,A,8662,7534,POINT(-73.843853 40.680429)
Queens,Rockaway Park - Beach 116 St,A S,379,696,POINT(-73.835592 40.580903)
Queens,Seneca Av,M,2428,1818,POINT(-73.90774 40.702762)
Queens,Steinway St,M R,14769,15590,POINT(-73.92074 40.756879)
Queens,Sutphin Blvd,F,4932,4291,POINT(-73.810708 40.70546)
Queens,Sutphin Blvd - Archer Av - JFK Airport,E J Z,23012,23388,POINT(-73.807969 40.700486)
Queens,Vernon Blvd - Jackson Av,7,12610,15093,POINT(-73.953581 40.742626)
Queens,Woodhaven Blvd,J Z,4576,4771,POINT(-73.851576 40.693879)
Queens,Woodhaven Blvd,M R,22276,20704,POINT(-73.869229 40.733106)
Queens,Woodside - 61 St,7,16559,16501,POINT(-73.902984 40.74563)